Company Name,Shares Equivalent Held(actual),Company Name (DT),Current Position
Freeport-McMoRan Inc.,153647266,Halliburton Company,65037762
BNP Paribas SA,31794705,Kraft Heinz Company,47525497
"CarMax, Inc.",18089921,"Hasbro, Inc.",13948969
Splunk Inc.,13535699,"Equity LifeStyle Properties, Inc.",12127432
Northern Trust Corporation,15831105,BHP Group Plc,60353139
"Akamai Technologies, Inc.",17132153,Danone SA,16695679
Keyence Corporation,2492438,"C.H. Robinson Worldwide, Inc.",17246118
Wesfarmers Limited,56692000,MGM Resorts International,50848318
Incyte Corporation,19441152,Infosys Limited,125441415
Taiwan Semiconductor Manufacturing Company Limited,34424415,Kroger Co.,66489915
Scentre Group,546499676,Lincoln National Corporation,22393694
Carnival Corporation & Plc,30480817,AES Corporation,85806725
Xylem Inc.,19099331,"Conagra Brands, Inc.",54186847
Hormel Foods Corporation,33959615,"Hologic, Inc.",29828668
Alliant Energy Corporation,29362504,Symantec Corporation,65566593
Macquarie Group Ltd.,17041769,"Rockwell Automation, Inc.",8705763
"Hologic, Inc.",30213132,BNP Paribas SA Class A,30364059
Safran SA,9533376,"Skyworks Solutions, Inc.",18416210
VINCI SA,13673166,Suncor Energy Inc.,45661972
MGM Resorts International,51540692,Alliant Energy Corp,28975311
Marvell Technology Group Ltd.,56926422,Zurich Insurance Group Ltd,4061554
"CenturyLink, Inc.",111083804,"Cheniere Energy, Inc.",20764931
"Square, Inc.",24838878,"Iron Mountain, Inc.",45349617
"WellCare Health Plans, Inc.",5381421,J.M. Smucker Company,12293004
"Take-Two Interactive Software, Inc.",11883660,"Citrix Systems, Inc.",14295277
"Rockwell Automation, Inc.",8878447,Northern Trust Corporation,15541719
Wabtec Corporation,19511263,First Republic Bank,14275498
Arch Capital Group Ltd.,35525261,Comerica Incorporated,19189300
Suncor Energy Inc.,47152612,Carnival Corporation,29934327
"CF Industries Holdings, Inc.",28567629,International Paper Company,31916066
Loews Corporation,28699909,"Varian Medical Systems, Inc.",10155761
"Liberty Broadband Corporation, Inc.",13206492,DXC Technology Co.,25028719
"Align Technology, Inc.",7933267,Keyence Corporation,2373701
"Arista Networks, Inc.",5777829,AXA SA,53774954
"Universal Health Services, Inc.",9183809,Tractor Supply Company,12591289
TC Energy Corporation,28384611,IDEX Corporation,8137042
"T-Mobile US, Inc.",17806020,Liberty Broadband Corp. Class C,13098405
The Kraft Heinz Company,48427138,"American Airlines Group, Inc.",41692627
Kansas City Southern,10604529,Hormel Foods Corporation,33502488
"Citrix Systems, Inc.",14505680,"Twilio, Inc. Class A",9959698
Kimco Realty Corporation,69187786,"Akamai Technologies, Inc.",16892418
AXA SA,56228594,TC Energy Corporation,27298702
Markel Corporation,1187938,BioMarin Pharmaceutical Inc.,15779778
"Fortinet, Inc.",17227321,VINCI SA,13005002
Brown-Forman Corporation,21027801,Textron Inc.,25420141
First Republic Bank,14510061,Exact Sciences Corporation,11400249
Lincoln National Corporation,22685682,Marvell Technology Group Ltd.,56372005
Schneider Electric S.E.,15393903,"Take-Two Interactive Software, Inc.",11723904
"Cboe Global Markets, Inc.",11835611,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",33949020
International Paper Company,32455172,Marathon Oil Corporation,93237987
The J. M. Smucker Company,12464058,Bank of Montreal,17548490
Infosys Limited,117172802,Safran S.A.,9151119
AES Corporation,86683976,Seagate Technology PLC,28066187
"Jack Henry & Associates, Inc.",9284839,Devon Energy Corporation,46360790
"Leidos Holdings, Inc.",15793904,"CF Industries Holdings, Inc.",28266690
"Ulta Beauty, Inc.",5897787,Las Vegas Sands Corp.,22265115
MarketAxess Holdings Inc.,3926994,"Fortinet, Inc.",17019702
Las Vegas Sands Corp.,22610132,Arch Capital Group Ltd.,35100970
Takeda Pharmaceutical Company Limited,38927516,Sberbank Russia OJSC,353027269
Ally Financial Inc.,38458624,Lloyds Banking Group plc,1984904487
"Cheniere Energy, Inc.",20984405,"T-Mobile US, Inc.",17473931
Compass Group PLC,53917124,"Franklin Resources, Inc.",37080068
Masco Corporation,30959456,"CenturyLink, Inc.",109714024
Halliburton Company,66260319,"Leidos Holdings, Inc.",15673200
Daimler AG,25289954,Vale S.A.,97126308
DENTSPLY SIRONA Inc.,25969056,Pinnacle West Capital Corporation,13648305
Tractor Supply Company,12763308,Schneider Electric SE,14717473
Textron Inc.,25735497,Markel Corporation,1173881
Bank of Montreal,18196696,Cboe Global Markets Inc,11695094
Rio Tinto,20623906,Kansas City Southern,10448376
FMC Corporation,14752857,Compass Group PLC,49861000
"VEREIT, Inc.",135802022,Daimler AG,24152732
TransUnion,16402625,Kimco Realty Corporation,68172742
"Honda Motor Co., Ltd.",48185965,"National Retail Properties, Inc.",23695956
"Noble Energy, Inc.",52781608,SVB Financial Group,5554704
"Gartner, Inc.",9512847,MarketAxess Holdings Inc.,3865398
"Omega Healthcare Investors, Inc.",31995715,Takeda Pharmaceutical Co. Ltd.,36967337
KDDI Corporation,48844485,CBS Corporation Class B,24724043
"National Retail Properties, Inc.",24062920,NiSource Inc,42734929
PAO Sberbank of Russia,356614286,"Jack Henry & Associates, Inc.",9164842
Pinnacle West Capital Corporation,13835051,"Sumitomo Mitsui Financial Group, Inc.",34964668
Kellogg Company,20139556,Viacom Inc. Class B,41022250
"Sumitomo Mitsui Financial Group, Inc.",36792379,ING Groep NV,109199148
Comerica Incorporated,19414199,KDDI Corporation,46550740
RELX PLC,54263697,"DexCom, Inc.",8119992
Western Union Company,53382505,Compagnie Financiere Richemont SA,14099025
NiSource Inc.,43342278,Apache Corporation,41979923
Mylan N.V.,56048375,"Annaly Capital Management, Inc.",132912852
Jacobs Engineering Group Inc.,14051456,Norwegian Cruise Line Holdings Ltd.,22583181
American Airlines Group Inc.,42092587,FMC Corporation,14565397
Exact Sciences Corporation,11521644,"VEREIT, Inc. Class A",133740155
SVB Financial Group,5628683,"Wynn Resorts, Limited",9715997
Norwegian Cruise Line Holdings Ltd.,22882081,Tiffany & Co.,12856268
Brookfield Asset Management Inc.,23657467,Apartment Investment and Management Company Class A,23992339
KKR & Co. Inc.,45670770,"ABIOMED, Inc.",4604733
"NRG Energy, Inc.",32113494,"Nasdaq, Inc.",12468686
Apartment Investment and Management Company,24310385,Masco Corporation,30533868
"Nasdaq, Inc.",12624390,TransUnion,16219700
Tiffany & Co.,13010071,UBS Group AG,100612014
Marathon Oil Corporation,94394130,"Universal Health Services, Inc. Class B",9062530
Essilor International Société Anonyme,8599874,Ally Financial Inc,38080600
National Grid plc,118146236,E*TRADE Financial Corporation,26451129
Globe Life Inc.,12729427,"Baker Hughes, a GE Company Class A",47701781
Garmin Ltd.,14329946,Jacobs Engineering Group Inc.,13886463
"DexCom, Inc.",8208555,"Gaming and Leisure Properties, Inc.",30035714
ING Groep NV,114222342,Hong Kong Exchanges & Clearing Ltd.,34497382
"Lamb Weston Holdings, Inc.",16780135,"Noble Energy, Inc.",52121398
CyrusOne Inc.,16216705,"PerkinElmer, Inc.",12088842
Glencore Plc,385195304,"Henry Schein, Inc.",16652556
"Raymond James Financial, Inc.",13968613,STERIS Plc,7812496
UBS Group AG,104348674,"Omega Healthcare Investors, Inc.",31635772
Compagnie Financière Richemont SA,14783874,"Baidu, Inc. Sponsored ADR Class A",9901594
E*TRADE Financial Corporation,26796212,Molson Coors Brewing Company Class B,20709596
"Advance Auto Parts, Inc.",7477868,Zebra Technologies Corporation Class A,5511374
Whirlpool Corporation,7768601,"Honda Motor Co., Ltd.",45982821
"Varian Medical Systems, Inc.",10293841,"Okta, Inc. Class A",9289414
Molson Coors Brewing Company,20966400,Brown-Forman Corporation Class B,20683027
"Shin-Etsu Chemical Co., Ltd.",10943200,KKR & Co. Inc. Class A,45315755
Packaging Corp of America,10881673,Eastman Chemical Company,14633687
"Gaming and Leisure Properties, Inc.",30375387,"Advance Auto Parts, Inc.",7372293
"J.B. Hunt Transport Services, Inc.",10146700,Garmin Ltd.,14143624
Devon Energy Corporation,46960003,EssilorLuxottica SA,8257224
"Annaly Capital Management, Inc.",134709321,Globe Life Inc.,12586046
Vale S.A.,98371782,Avery Dennison Corporation,9730893
"Burlington Stores, Inc.",5909505,Cabot Oil & Gas Corporation,48659304
Woodside Petroleum Ltd,53551153,"NRG Energy, Inc.",31746683
BioMarin Pharmaceutical Inc.,15957672,"SS&C Technologies Holdings, Inc.",19309679
SL Green Realty Corp.,13809632,Bank of China Limited Class H,2718592339
Pernod Ricard SA,6187805,Eni S.p.A.,70241196
"Old Dominion Freight Line, Inc.",6543803,"Raymond James Financial, Inc.",13751415
WestRock Company,29178346,RELX PLC,46235627
"Nintendo Co., Ltd.",2960666,Allegion PLC,9989551
STERIS plc,7883742,"United Rentals, Inc.",8303541
Kilroy Realty Corporation,14734626,"GoDaddy, Inc. Class A",15667567
Eni S.p.A.,74150937,Whirlpool Corporation,7680054
"Baidu, Inc.",10111996,SL Green Realty Corp.,13591223
"Wynn Resorts, Limited",9853472,Brookfield Asset Management Inc. Class A,22848761
Kering SA,2164265,FactSet Research Systems Inc.,3806208
"Everest Re Group, Ltd.",4402694,"Paycom Software, Inc.",4805985
"NVR, Inc.",305120,Liberty Property Trust,21739314
"Daiichi Sankyo Company, Limited",17447849,Kering SA,2071200
Liberty Property Trust,22071833,"Recruit Holdings Co., Ltd.",31498632
"Medical Properties Trust, Inc.",59568283,Kilroy Realty Corporation,14567171
Avery Dennison Corporation,9849243,Shin-Etsu Chemical Co Ltd,10447818
"Fidelity National Financial, Inc.",25197775,"Everest Re Group, Ltd.",4336110
"Henry Schein, Inc.",16865641,"Elanco Animal Health, Inc.",31621179
Bank of China Ltd.,2751222243,"Hon Hai Precision Industry Co., Ltd.",422807995
Eastman Chemical Company,14829482,Reckitt Benckiser Group plc,13688000
"Franklin Resources, Inc.",37527041,Kellogg Company,19742323
CBS Corporation,25230863,Mylan N.V.,55352474
Twilio Inc.,10068328,"Huntington Ingalls Industries, Inc.",4689025
Arconic Inc.,40858048,WestRock Company,28815003
Zebra Technologies Corporation,5561181,"Discovery, Inc. Class C",36925522
Transurban Group,111240857,"Lamb Weston Holdings, Inc.",16548085
Viacom Inc.,41525508,Western Union Company,52638139
Barclays Plc,591200234,Pernod Ricard SA,5904729
Hong Kong Exchanges and Clearing Ltd.,35684369,Itau Unibanco Holding SA Pfd,112926508
"Baker Hughes, a GE company",48415177,Lennox International Inc.,3788861
"United Rentals, Inc.",8416326,Tata Consultancy Services Limited,32494237
"PerkinElmer, Inc.",12240161,Trimble Inc.,23057326
W. R. Berkley Corporation,14922965,"Arconic, Inc.",40282036
"West Pharmaceutical Services, Inc.",7320338,"Nintendo Co., Ltd.",2813979
STORE Capital Corporation,29124884,"Juniper Networks, Inc.",38968893
FactSet Research Systems Inc.,3849743,"Domino's Pizza, Inc.",3721202
Meituan Dianping,114246421,Nutrien Ltd.,19000867
ABB Ltd,51670367,"Medical Properties Trust, Inc.",58916692
"Huntington Ingalls Industries, Inc.",4750144,Packaging Corporation of America,10749564
GoDaddy Inc.,15836026,Lamar Advertising Company Class A,12692183
Münchener Rückversicherungs-Gesellschaft AG,4108333,"Daiichi Sankyo Company, Limited",16675361
"PulteGroup, Inc.",29809640,"NVR, Inc.",301520
"National Oilwell Varco, Inc.",42639578,"Tapestry, Inc.",31941165
Intesa Sanpaolo SpA,437624162,"Fidelity National Financial, Inc. - FNF Group",24921437
Apache Corporation,42493393,Snap-on Incorporated,6028735
Canadian Imperial Bank of Commerce,12569431,"Burlington Stores, Inc.",5842016
"Qorvo, Inc.",13346275,UGI Corporation,18602838
Alleghany Corporation,1326766,"Zions Bancorporation, N.A.",21570508
"Douglas Emmett, Inc.",23861393,Mosaic Company,39569390
Allegion plc,10131485,Glencore plc,302437701
Booz Allen Hamilton Holding Corporation,14535840,Telefonica SA,127002130
"Banco Bilbao Vizcaya Argentaria, SA",194366296,National Grid plc,94598000
"Discovery, Inc.",37405007,Manulife Financial Corporation,53780993
Fanuc Corporation,5357431,Banco Bradesco SA Pfd,106470389
Lamar Advertising Company (REIT),12745969,W. R. Berkley Corporation,14768011
"Paycom Software, Inc.",4854474,"Old Dominion Freight Line, Inc.",6484609
Manulife Financial Corporation,55727662,DBS Group Holdings Ltd,49808032
"Teradyne, Inc.",17351838,"Interpublic Group of Companies, Inc.",42491030
"Tokio Marine Holdings, Inc.",18446303,Fox Corporation Class A,26158085
"SS&C Technologies Holdings, Inc.",19528351,Booz Allen Hamilton Holding Corporation Class A,14451327
"Okta, Inc.",9386104,Barclays PLC,506585000
Teledyne Technologies Incorporated,3238899,STORE Capital Corporation,28780348
Itaú Unibanco Holding SA,114968896,"F5 Networks, Inc.",6556614
"SK hynix, Inc.",14154561,Gazprom PJSC,255504790
"Recruit Holdings Co., Ltd.",32990707,"Mizuho Financial Group, Inc.",670253236
Central Japan Railway Company,4968029,Central Japan Railway Company,4715388
Snap-on Incorporated,6104323,Munich Reinsurance Company,3923564
"Roku, Inc.",6582049,Canadian Imperial Bank of Commerce,12110488
"Hitachi, Ltd.",25574814,"Banco Bilbao Vizcaya Argentaria, S.A.",185534336
Aqua America Inc.,22785489,"Sarepta Therapeutics, Inc.",6188877
"Telefónica, S.A.",132705570,"Douglas Emmett, Inc",23591003
CubeSmart,27637975,"Tokio Marine Holdings, Inc.",17564034
Deutsche Post AG,28558512,Jones Lang LaSalle Incorporated,6654271
Kohl's Corporation,18547287,"National Oilwell Varco, Inc.",42111392
"Juniper Networks, Inc.",39487909,"Aqua America, Inc.",22625419
PJSC LUKOIL,11541476,ABB Ltd.,49260113
"Zions Bancorporation, National Association",21832826,"Mohawk Industries, Inc.",6343784
Jones Lang LaSalle Incorporated,6694010,Nielsen Holdings Plc,41385823
BAE Systems plc,136215007,"PulteGroup, Inc.",29452511
"Daikin Industries,Ltd.",7284820,CNOOC Limited,562948829
Vistra Energy Corp.,36908112,"CyrusOne, Inc.",16030944
Kao Corporation,13143068,Oil company LUKOIL PJSC,11216541
Nielsen Holdings PLC,41874992,Mitsubishi Corporation,34103983
Campbell Soup Company,20494448,BorgWarner Inc.,21958727
DBS Group Holdings,51670573,Kao Corp.,12539817
Americold Realty Trust,27084948,"Reinsurance Group of America, Incorporated",5901726
East Japan Railway Company,10063386,Fanuc Corporation,5107313
Experian plc,30507564,"American Campus Communities, Inc.",19875716
"Reinsurance Group of America, Incorporated",5957088,Canadian Natural Resources Limited,33990520
Shopify Inc.,2725791,"J.B. Hunt Transport Services, Inc.",10024433
"F5 Networks, Inc.",6648632,CubeSmart,27323818
"American Campus Communities, Inc.",20105149,Intesa Sanpaolo S.p.A.,418560410
HollyFrontier Corporation,18380436,Invesco Ltd.,44650749
Public Joint Stock Company Gazprom,261706557,American Homes 4 Rent Class A,37457476
CRH plc,27239703,"West Pharmaceutical Services, Inc.",7275760
Aramark,21972684,Amadeus IT Group SA Class A,11458564
Cabot Oil & Gas Corporation,49319871,SK hynix Inc,13930273
Tesco PLC,322212153,"Industria de Diseno Textil, S.A.",29967186
"Industria de Diseño Textil, S.A.",31348837,DISH Network Corporation Class A,23408076
Credit Suisse Group AG,72328834,Deutsche Post AG,27279407
"Domino's Pizza, Inc.",3760490,Alleghany Corporation,1313308
LKQ Corporation,32048696,VICI Properties Inc,40387391
Mitsubishi Corporation,35933319,Albemarle Corporation,12596655
American Homes 4 Rent,37896077,Canadian Pacific Railway Limited,3767959
RPM International Inc.,13610412,PG&E Corporation,38631327
DXC Technology Company,25403686,Woolworths Group Ltd,35988282
UGI Corporation,18838742,Teledyne Technologies Incorporated,3219681
Lennox International Inc.,3823816,East Japan Railway Company,9537327
Elanco Animal Health Incorporated,31942263,"Qorvo, Inc.",13182120
Canadian Pacific Railway Limited,3917853,OGE Energy Corp.,20624146
"Spirit AeroSystems Holdings, Inc.",10622241,Wesfarmers Limited,32515847
"Interpublic Group of Companies, Inc.",43040858,PTC Inc.,9757413
OGE Energy Corp.,20821889,"Hitachi,Ltd.",24394899
Brixmor Property Group Inc.,46077508,"Zendesk, Inc.",9790460
Newcrest Mining Limited,38436257,"DAIKIN INDUSTRIES, LTD.",6961658
Swiss Re AG,8737944,Kohl's Corporation,18313584
Banco Bradesco SA,107834312,Vonovia SE,17625532
"Hon Hai Precision Industry Co., Ltd.",369548636,Americold Realty Trust,26756469
EPR Properties,11717113,AGNC Investment Corp.,51425642
Snap Inc.,59173892,EPR Properties,11595601
Fox Corporation,26642993,"Park Hotels & Resorts, Inc.",31215668
London Stock Exchange Group Plc,10121288,"JD.com, Inc. Sponsored ADR Class A",28319588
VICI Properties Inc.,41095325,"Spirit AeroSystems Holdings, Inc. Class A",10525427
"Brown & Brown, Inc.",25323901,Targa Resources Corp.,21771304
"JD.com, Inc.",28912952,Nokia Oyj,157064153
"Royal Gold, Inc.",7230223,Qatar National Bank QPSC,158314221
Volkswagen AG,5202910,Lear Corporation,6063689
Trimble Inc.,23284998,"Brown & Brown, Inc.",25190725
"Abiomed, Inc.",4668543,Graco Inc.,16786023
Canadian Natural Resources Limited,35109595,LKQ Corporation,31604988
"Amadeus IT Group, S.A.",11994156,Fair Isaac Corporation,2677182
Barrick Gold Corporation,51342861,HollyFrontier Corporation,18163989
Nutrien Ltd.,17174901,"Snap, Inc. Class A",58675550
Nippon Telegraph and Telephone Corporation,18188600,"SAGE Therapeutics, Inc.",4574666
"Vail Resorts, Inc.",3705790,"Fortune Brands Home & Security, Inc.",14639340
Imperial Brands PLC,32518499,Petroleo Brasileiro SA,109291706
